Itens,Valor
teste1,0
teste2,0
Martelo de Conexao Divino,0
Lapis Triplo Sabio-,0
Lapis de Absorgao Ly?,0
Protetor Imperial do Sabio-,10000000
Recreation GM: INT,0
Lapis Rosers:,0
Lapis Fortuna Lv6_,0
Runa de Recriagao (STR),0
Lv2 Interser Lapis,0
Runa de Ressurreigao 6h,0
Guarda Inundante,0
Lapis da Fortuna Duplo Lv5-,0
Emblemas de Guilda-,0
Lapis de Absorgao Lyd,0
Elmo Luminoso Matador,0
Lapis de Absorgao Lv6-,0
Malha Luminosa Matador,0
Perneira Luminosa Matador,0
Bracal Luminosa Matador,0
Bota Luminosa Profana,0
GM Link (NT),100000000
Queijo Eteo:,0
Pd Alquimia Terrestre,0
Frasco de Esséncia Celestial,0
Capa da Prosperidade,0
Kit de atiracor,0
Bau do Conjurador Arcano,0
Amuleto Natalino |,10000000
Calga Luminosa Imperial,0
Olho Degenerado,0
Manopla de Autoridade Bril.,0
Lapis Mistico Duplo Ly5-,0
Lapis da Vida Ly?,0
Lapis Seguro Ly?,0
Remedio da Inteligencia Lv1,0
Pedra de EXP 10x (1h),100000000
Caixa de Lapisia para Armadura 2 (Nv 11 aN,0
Langa do Destino,0
Avambracgo de Yinganga Bril.,0
Caixa de Lapisia para Armadura 3 (Nv 16 ah,0
Remedio Energetico Ly3_,0
Malha Luminosa Corrupta de Fogo:,0
,0
Runa de Ressurreigao do Amigo.,0
Legadoa Intinito:,20000000
Grande Forma:,10000000
Pedra de EXP 5x (1h),5000000
Atrocidade Infinita,10000000
Elmo Luminoso Supremo,10000000
Lapis Veloz Lv1,0
Recreagao GM Token,1000000000
Token de Arma Elemental Epica:,1000000000
Token dé Recreagao Maxima,1000000000
Token dé Impulso de Recreagao,1000000000
Lamina de Forma Intinita,0
Elmo Luminoso Suprema,10000000
Manopla Luminosa Suprema,100000000
Uivo Lupino do Intinito:,10000000
Furia Intinita,10000000
Loucura Infinita |,10000000
Dangarina Fantasma Intinita:,10000000
Luar Intinito:,10000000
Dedos Ageis Infinitos,10000000
Confissao Infinita:,10000000
Sabio Infinito.,10000000
Vento do Oeste Infinito,10000000
Ultimo Sussurro Infinito.,10000000
Ambicao Infinita:,10000000
Tufao Infinito:,10000000
Ambigao,10000000
Typhoon,10000000
Ultimo Suspiro:,10000000
Vento do Oeste,10000000
Legado Antigo,10000000
Sabedoria Ancestral,10000000
Contissao°,10000000
Dedo Agil,10000000
Espada Curta Leve Herdico:,10000000
Garra Ferro Herdico:,10000000
Sombra Lunar,10000000
Ira Incandescente,10000000
Lamina As Herdico:,10000000
Dancgarina Fantasma,10000000
Garra Ferro Heroico:,10000000
Lamina As Heroico:,10000000
sombra Lunar,10000000
Ambi¢ao Infinite:,0
False,0
Bota Luminosa Rancor,0
Buraco Negro do Infinite”,10000000
Sede de Sangue,10000000
Espada do Intinito’,10000000
Medo Brutal,10000000
Explosao Esmagadora,10000000
Lamina Perolada,10000000
Machado de Prata Duplo Her.,10000000
Lagrima do Lobo,10000000
Visao do Horror:,10000000
Justiga é Julgamento,10000000
Martelo de Cristal,10000000
Remarty,10000000
Escuridao do Yazio-,10000000
Clava de Espinhos Herdica,10000000
Passaro Negro Herdico:,10000000
Colar Natalino |,10000000
Anel Natalino-,10000000
Bracelete Natalino |,10000000
Bracelete do Sol Ardente,10000000
Hoplon Herdico,10000000
Escudo Herdico:,10000000
Snowboard Natalino-,10000000
Asa Negra,10000000
Rena do Papai Noel,10000000
Pedra Invoca Cavalo Negro:,10000000
Pedra Invoca Dragao de Dua.,10000000
Pedra Invoca Tigre Branco:,10000000
Pedra Invoca Unicornio Arm.,10000000
Pedra Invoca Cavalo Armada,10000000
Cortador ‘ivido Infinito,0
Runa de Recriagao (INT),0
Sede Infinita,0
Colar de Prata:,0
Chumbo Oxido Herdico:,0
Calgado Adamas Deusa,0
Lamina de Forma Infinita,0
Armadura Imperial Espinhosa-,10000000
Mudanca de faccao de item,0
Lapis da Fortuna Lyd,0
Luvas Escamas Atroz,10000000
Runa de Recriagao (REC),0
Armadura Adamas Deusa-,0
Calga Luminosa de Clerigo-,0
Pogao de Reino,0
Para-Raio-,0
Pergaminho Troca de Nome,0
Perneira Luminoso Rancor,0
Perneira Luminosa Tirana,0
Recreation GM: vviS-,0
Perneira LuminosaVingan¢ga,0
Armadura Lapisia:,0
Recreation GM: MP,0
Lapis Fortuna Triplo Definitivo,0
Capa da Forca de Hercules:,0
Lapis Caos:,0
Botas Imperiais Espinhosas:,10000000
Malha Luminosa Yinganga,0
Runa de Batalha Media (30 dias),0
Unhas Infinitas:,0
Botas Imperiais do Horizonte,10000000
Lengo Tatoram Perito,0
Runa de Batalha Real (30 dias),300000000
Caixa de Lapisia para Arma 3 (Nv 16 a Nv 20,0
Remedio Resisténcia Ly2_,0
Malha Luminosa Corrupta de Terra,0
Lapis Luz do Fogo Lv.2.,0
Lapis Artesanal Lv,0
Malha Luminosa de Tirano:,0
Runa de Batalha Fraca (24 horas),0
Bracal Luminoso Corrupto:,0
Lapis Mecanico N° 1,0
Lapis do Astucia Lyd,0
Martelo de Extragao Pequeno,0
Elmo Luminoso Corrupto |,0
Protecao Divina:,0
Bota Luminosa Tirano:,0
Perneira Luminosa Corrupto-,0
Luvas Sinistras:,0
Bota Luminosa Corrupta |,0
Amuleto da Sorte:,0
Cajado de Mondelsyon-,0
Lapis Mecanico N° 4,0
Botas Unicornio Legendario:,0
Resistencia Eterna 7 dias,0
Lapis Sonico Lv2,0
Malha Luminosa de Rancor de Vento:,0
Medco Infinite”,0
Chapeéu de Rudolph,0
Armadura Terra Legendario:,0
Martelo de Extragao Grande,0
Lapis Astucia Duplo Lv5-,0
Pogaa Intocavel Lv2-,0
Lapis Artesanal Lv?,0
Martelo de Extragao Extra Grande,0
Saco de Runas de Rec Premium,0
Lapis Astuto N. 9,0
Lapis Triplo Fortuna,0
Runa de Convite Membro-,0
Cadaver diabolico,0
Grimorio Enigmatico,0
Tintura de Asas Crowly,0
Amuleto Fenix Vermelha,0
Lapis Sabio Ly,0
Lapis Toxina Lv?,0
Malha Luminosa Protana de Terra:,0
Lapis Mecanico N° 2,0
Capacete Loxe Legendario |,0
Luvas Loxe Legendario,0
Calga Tathar Legendario:,0
Armadura Tathar Legendario:,0
Bracelete Deusa,0
Colar da Deusa,0
Maca de Ouro:,0
Sucesso Intinito:,0
Lapis Decdsy,0
GM Encanto Ly.?-,0
Lapis Rasio-,0
Lapis Mistico Duplo Lv1,0
Lapis Adi,0
Sorvete de Uva.,0
Lapis Roser,0
Lapis Fortuna Ly?,0
Amuleto de Ouro de Guerreiro:,0
Runa de Movimento,0
Sorvete de Melao-,0
Doce de Morango,0
Bracal Luminosa Vingan¢ga,0
Lapis Fortuna LyS_,0
Lapis da Astucia Lv?,0
Lapis Lento Ly?,0
Lapis de Rasteiar Lv6-,0
Lapis Capacete INT,0
Lapis Congelador Lv6-,0
Malha Luminosa Profana de Fogo:,0
Perneira Luminosa Profana,0
Elmo Luminoso Profano,0
Bracal Luminoso Profano |,0
Dentes Degenerados,0
Capa do Sinistro,0
Malha Luminosa Profana de Agua,0
Lapis Veloz Max.,0
Malha Luminosa Profana de Yento,0
Token de HPMP/SP de Recreagao,10000000
Vale de Transferencia de Item,0
Luvas Loxe,0
Armadura Imperial Pacifica,10000000
Lapis Artesanal Triplo Definitivo:,0
Pedra Invoca Basilisk das,0
Protetor Eremita Deusa:,0
Grip.,0
Calgado Eremita Deusa,0
Capa do Poder de Merlim,0
Capa da Defesa de Esparta,0
Fragmento de Onix,0
Token de Dobro de Recreagao:,10000000
"Pedra Fossil,",0
Capacete Imperial Genial,10000000
Amuleto de Ouro de Assassino |,0
Malhete de Cristal Intinito:,0
Cubo Lapisia Perfeita,0
Anel Resplandescente de As.,0
Lapis Fortuna Duplo Nv6-,0
Bracadeira de Ouro de Assa.,0
Bracadeira Resplandescente.,0
Salvagao,0
Eliminador Infinito:,0
Olho de Aguia Infinite,0
Bracelete Categoria Alta,0
Sussurros Infinitos:,0
Estripador Infinito.,0
Malha Luminosa de Rancor de Fogo,0
Espada do Caos Intinito,0
Lapis Veloz Ly2-,0
Destruidor Intinito:,0
unhas diabdlicas,0
Capacete Agaton Deusa,0
Anel da Deusa,0
Bigorna do Bracelete Eterna,0
Anel do Dia dos Namorados:,0
"A,Estrela de Eolo",0
"A,Estrela de Demeter",0
Luvas Medicus,0
Runa de Batalha Fraca (15 dias),0
Colar de Reino,0
Armadura Hanor Deusa,0
Calga Hanor Deusa,0
Prancha de Snowboard,0
Cajado Estranho |,0
Armadura Plena Conflito,0
Legado de Mistra.,0
Chip de Obsidiana Runada-,0
Recreagao Doubler: vviS-,10000000
Recreation GM: HP,10000000
Recreagao Doubler: STR”,10000000
Runa de Batalha Media (15 dias),10000000
Runa de Batalha Real (24 horas),1000000
Recreagao Doubler: DEX:,80000000
Recreagao Doubler: REC,50000000
ERRO,0
Capacete Aquine Heroico |,10000000
Capacete Colmeia Herdico,10000000
Capacete Escamas Heroico:,10000000
Capacete Metrin Heroico:,10000000
Capacete de Couro Duro Heroico:,10000000
Chapeéu Imperial do Horizonte,10000000
Chapeéu Imperial do Sabio,10000000
Capacete Imperial Espinhoso:,10000000
Capacete Imperial Pacifico:,10000000
Elmo dos Duendes (L),10000000
Elmo Natalino-,10000000
Capacete de Metal Heroico,10000000
Armadura Imperial Genial,10000000
Protetor Imperial Veloz,10000000
Armadura Dentron Venia-,10000000
Protetor Imperial do Horiz.,10000000
Armadura Bronze Vénia,10000000
Calgas Imperiais Espinhosas,10000000
Calga Dentron Veénia-,10000000
Calgas Imperiais do Sabio-,10000000
Calgas Imperiais Géniais:,10000000
Calgas Imperiais ‘Veloz,10000000
Calgas Imperiais Pacificas:,10000000
Calgas Imperiais do Horizonte,10000000
Armadura Inferior Brutal V’.,0
Luvas Metal Atroz,10000000
Luvas Quine Atroz:,10000000
Luvas Couro Rigido Atroz,10000000
Luvas Apis Atroz:,10000000
Luvas Imperiais Geniais,10000000
Luvas Metrin Atroz:,10000000
Luvas Imperiais do Horizonte:,10000000
Luvas Imperiais Yeloz,10000000
Luvas Imperiais Espinhosas-,10000000
Botas Imperiais Geéniais,10000000
Botas Imperiais do Sabio:,10000000
Botas Imperiais Veloz,10000000
Botas Imperiais Pacificas:,10000000
Capa Imperial de Cléerigo,10000000
Capa de Luta,10000000
Capa Imperial de Guerreiro,10000000
Capa Imperial de Lutador,10000000
Capa Vitoria,10000000
Capa Imperial de Mago,10000000
Capa Imperial de Cagador,10000000
Capa Imperial de Arqueiro:,10000000
Capa Cruel Persa,10000000
Capa Imperial de Oraculo”,10000000
Capa Imperial de Defensor,10000000
Capa da Forca de Aquiles:,10000000
Capa Imperial de Ranger,10000000
Capa de Guilherme Tell.,10000000
Capa Imperial de Assassino-,10000000
Capa da Defesa de Troia-,10000000
